Matricula,Nome,Posto_Graduacao,Situacao,Dias_Afastado,Unidade,Mes_Referencia
141075,Gustavo Gomes,2º Sargento,Licença médica,6,2º BPM,2026-01
155165,Gustavo Silva,1º Tenente,Apto ao serviço,0,2º BPM,2026-01
166036,Juliana Costa,Subtenente,Apto ao serviço,0,2º BPM,2026-01
195254,Eduardo Gomes,Soldado,Apto ao serviço,0,2º BPM,2026-01
168681,Carla Silva,2º Sargento,Apto ao serviço,0,2º BPM,2026-01
122403,Rafael Oliveira,Soldado,Apto ao serviço,0,2º BPM,2026-01
169826,Helena Costa,Major,Apto ao serviço,0,2º BPM,2026-01
195159,Patrícia Martins,1º Tenente,Apto ao serviço,0,2º BPM,2026-01
100878,Ana Martins,Capitão,Apto ao serviço,0,2º BPM,2026-01
165507,Gustavo Silva,Soldado,Apto ao serviço,0,2º BPM,2026-01
166772,Rafael Oliveira,3º Sargento,Licença médica,29,2º BPM,2026-01
164649,Ana Souza,2º Tenente,Afastado,6,2º BPM,2026-01
180971,Igor Pereira,1º Sargento,Apto ao serviço,0,2º BPM,2026-01
165308,Igor Oliveira,Soldado,Férias,25,2º BPM,2026-01
120089,Eduardo Pereira,2º Sargento,Apto ao serviço,0,2º BPM,2026-01
161211,Rafael Rodrigues,1º Sargento,Apto ao serviço,0,2º BPM,2026-01
150452,Eduardo Santos,3º Sargento,Apto ao serviço,0,2º BPM,2026-01
114813,Gustavo Rodrigues,1º Tenente,Apto ao serviço,0,2º BPM,2026-01
120746,Bruno Pereira,Cabo,Apto ao serviço,0,2º BPM,2026-01
128291,Sabrina Pereira,1º Sargento,Apto ao serviço,0,2º BPM,2026-01
179190,Marcos Costa,1º Tenente,Apto ao serviço,0,2º BPM,2026-01
145997,Sabrina Oliveira,Cabo,Apto ao serviço,0,2º BPM,2026-01
177544,Juliana Silva,2º Sargento,Apto ao serviço,0,2º BPM,2026-01
109541,Carla Costa,2º Tenente,Apto ao serviço,0,2º BPM,2026-01
177362,Carla Oliveira,1º Tenente,Licença médica,9,2º BPM,2026-01
168977,Diego Souza,3º Sargento,Licença médica,10,2º BPM,2026-01
197438,Helena Souza,Subtenente,Apto ao serviço,0,2º BPM,2026-01
187823,Carla Martins,Subtenente,Apto ao serviço,0,2º BPM,2026-01
123727,Ana Rodrigues,1º Sargento,Apto ao serviço,0,2º BPM,2026-01
150499,Fernanda Rodrigues,Major,Apto ao serviço,0,2º BPM,2026-01
161544,Bruno Rodrigues,2º Tenente,Apto ao serviço,0,2º BPM,2026-01
142762,Carla Costa,Soldado,Férias,30,2º BPM,2026-01
194285,Eduardo Almeida,Soldado,Afastado,4,2º BPM,2026-01
110177,Eduardo Almeida,Major,Afastado,11,2º BPM,2026-01
153844,Ana Martins,2º Tenente,Afastado,28,2º BPM,2026-01
183091,Igor Pereira,Subtenente,Férias,3,2º BPM,2026-01
103664,Helena Pereira,Capitão,Apto ao serviço,0,2º BPM,2026-01
137262,Igor Souza,Soldado,Apto ao serviço,0,2º BPM,2026-01
131208,Bruno Almeida,2º Tenente,Apto ao serviço,0,2º BPM,2026-01
189470,Ana Gomes,2º Sargento,Curso,18,2º BPM,2026-01
