Matricula,Nome,Posto_Graduacao,Situacao,Dias_Afastado,Unidade,Mes_Referencia
141000,Bruno Rodrigues,Capitão,Apto ao serviço,0,1º BPM,2026-01
113794,Diego Santos,3º Sargento,Apto ao serviço,0,1º BPM,2026-01
123334,Gustavo Martins,Subtenente,Curso,15,1º BPM,2026-01
195604,Diego Rodrigues,Capitão,Curso,27,1º BPM,2026-01
118378,Helena Costa,Soldado,Apto ao serviço,0,1º BPM,2026-01
117502,Bruno Martins,2º Tenente,Apto ao serviço,0,1º BPM,2026-01
122918,Bruno Santos,Capitão,Afastado,14,1º BPM,2026-01
107979,Helena Silva,Soldado,Apto ao serviço,0,1º BPM,2026-01
127953,Igor Costa,Major,Apto ao serviço,0,1º BPM,2026-01
143829,Diego Pereira,2º Sargento,Apto ao serviço,0,1º BPM,2026-01
138747,Rafael Costa,Subtenente,Licença médica,3,1º BPM,2026-01
108615,Diego Almeida,Cabo,Apto ao serviço,0,1º BPM,2026-01
192177,Rafael Silva,2º Tenente,Apto ao serviço,0,1º BPM,2026-01
194276,Helena Souza,1º Tenente,Apto ao serviço,0,1º BPM,2026-01
184499,Bruno Oliveira,1º Sargento,Apto ao serviço,0,1º BPM,2026-01
182560,Fernanda Souza,2º Tenente,Apto ao serviço,0,1º BPM,2026-01
148124,Ana Martins,Capitão,Apto ao serviço,0,1º BPM,2026-01
171482,Ana Souza,Subtenente,Apto ao serviço,0,1º BPM,2026-01
114196,Gustavo Souza,Soldado,Apto ao serviço,0,1º BPM,2026-01
182242,Ana Oliveira,3º Sargento,Apto ao serviço,0,1º BPM,2026-01
120511,Bruno Almeida,3º Sargento,Apto ao serviço,0,1º BPM,2026-01
194104,Bruno Souza,1º Sargento,Apto ao serviço,0,1º BPM,2026-01
117982,Juliana Pereira,Cabo,Licença médica,8,1º BPM,2026-01
137865,Bruno Martins,Soldado,Licença médica,6,1º BPM,2026-01
128068,Igor Costa,Cabo,Licença médica,13,1º BPM,2026-01
117311,Patrícia Souza,3º Sargento,Apto ao serviço,0,1º BPM,2026-01
128324,Patrícia Gomes,2º Tenente,Apto ao serviço,0,1º BPM,2026-01
169772,Helena Rodrigues,2º Tenente,Apto ao serviço,0,1º BPM,2026-01
193475,Ana Almeida,1º Sargento,Curso,11,1º BPM,2026-01
150784,Igor Almeida,1º Sargento,Apto ao serviço,0,1º BPM,2026-01
133549,Carla Rodrigues,2º Tenente,Apto ao serviço,0,1º BPM,2026-01
109232,Marcos Oliveira,Major,Licença médica,29,1º BPM,2026-01
182321,Helena Pereira,1º Sargento,Férias,16,1º BPM,2026-01
152942,Gustavo Silva,1º Sargento,Licença médica,25,1º BPM,2026-01
161214,Bruno Santos,Major,Apto ao serviço,0,1º BPM,2026-01
194936,Ana Almeida,Subtenente,Apto ao serviço,0,1º BPM,2026-01
175302,Gustavo Almeida,1º Tenente,Apto ao serviço,0,1º BPM,2026-01
154143,Ana Almeida,2º Tenente,Apto ao serviço,0,1º BPM,2026-01
128840,Diego Santos,Capitão,Apto ao serviço,0,1º BPM,2026-01
188223,Juliana Oliveira,2º Tenente,Apto ao serviço,0,1º BPM,2026-01
163458,Helena Souza,Soldado,Apto ao serviço,0,1º BPM,2026-01
178681,Gustavo Pereira,1º Sargento,Apto ao serviço,0,1º BPM,2026-01
178361,Eduardo Silva,2º Sargento,Apto ao serviço,0,1º BPM,2026-01
