Matricula,Nome,Posto_Graduacao,Situacao,Dias_Afastado,Unidade,Mes_Referencia
118789,Diego Oliveira,Capitão,Curso,9,3º BPM,2026-02
164017,Helena Pereira,Capitão,Apto ao serviço,0,3º BPM,2026-02
110757,Carla Oliveira,Capitão,Apto ao serviço,0,3º BPM,2026-02
121956,Sabrina Gomes,1º Sargento,Apto ao serviço,0,3º BPM,2026-02
107023,Helena Santos,Soldado,Apto ao serviço,0,3º BPM,2026-02
157047,Rafael Almeida,3º Sargento,Apto ao serviço,0,3º BPM,2026-02
105177,Rafael Santos,Subtenente,Apto ao serviço,0,3º BPM,2026-02
171225,Fernanda Almeida,1º Sargento,Apto ao serviço,0,3º BPM,2026-02
105848,Rafael Gomes,1º Sargento,Apto ao serviço,0,3º BPM,2026-02
132120,Diego Gomes,2º Sargento,Apto ao serviço,0,3º BPM,2026-02
103586,Igor Pereira,Cabo,Curso,11,3º BPM,2026-02
140651,Bruno Santos,3º Sargento,Apto ao serviço,0,3º BPM,2026-02
156189,Fernanda Santos,2º Tenente,Apto ao serviço,0,3º BPM,2026-02
106431,Eduardo Gomes,Capitão,Apto ao serviço,0,3º BPM,2026-02
154092,Rafael Souza,1º Tenente,Licença médica,10,3º BPM,2026-02
105004,Rafael Pereira,Cabo,Apto ao serviço,0,3º BPM,2026-02
137151,Gustavo Silva,2º Tenente,Apto ao serviço,0,3º BPM,2026-02
118276,Gustavo Gomes,Cabo,Férias,8,3º BPM,2026-02
145573,Diego Souza,2º Tenente,Férias,26,3º BPM,2026-02
157771,Fernanda Martins,Cabo,Apto ao serviço,0,3º BPM,2026-02
199046,Rafael Almeida,Soldado,Apto ao serviço,0,3º BPM,2026-02
156420,Ana Oliveira,Cabo,Curso,8,3º BPM,2026-02
113205,Bruno Souza,1º Sargento,Apto ao serviço,0,3º BPM,2026-02
181573,Sabrina Pereira,Subtenente,Férias,26,3º BPM,2026-02
178727,Marcos Rodrigues,Cabo,Apto ao serviço,0,3º BPM,2026-02
156993,Eduardo Rodrigues,2º Sargento,Apto ao serviço,0,3º BPM,2026-02
172226,Gustavo Martins,1º Sargento,Apto ao serviço,0,3º BPM,2026-02
177793,Patrícia Gomes,1º Sargento,Apto ao serviço,0,3º BPM,2026-02
149795,Fernanda Santos,1º Tenente,Apto ao serviço,0,3º BPM,2026-02
101417,Ana Costa,3º Sargento,Licença médica,2,3º BPM,2026-02
112400,Diego Martins,Cabo,Apto ao serviço,0,3º BPM,2026-02
117243,Sabrina Santos,3º Sargento,Apto ao serviço,0,3º BPM,2026-02
107587,Bruno Rodrigues,Capitão,Apto ao serviço,0,3º BPM,2026-02
119976,Gustavo Santos,2º Sargento,Afastado,27,3º BPM,2026-02
194701,Gustavo Gomes,1º Tenente,Curso,14,3º BPM,2026-02
198030,Eduardo Gomes,Soldado,Apto ao serviço,0,3º BPM,2026-02
152365,Patrícia Souza,2º Sargento,Licença médica,7,3º BPM,2026-02
103028,Helena Rodrigues,Major,Apto ao serviço,0,3º BPM,2026-02
187295,Gustavo Almeida,Subtenente,Apto ao serviço,0,3º BPM,2026-02
166527,Fernanda Pereira,1º Tenente,Apto ao serviço,0,3º BPM,2026-02
188891,Gustavo Rodrigues,1º Tenente,Apto ao serviço,0,3º BPM,2026-02
130505,Eduardo Pereira,Capitão,Apto ao serviço,0,3º BPM,2026-02
103551,Carla Santos,Major,Férias,13,3º BPM,2026-02
188012,Patrícia Souza,Capitão,Apto ao serviço,0,3º BPM,2026-02
155222,Diego Almeida,1º Sargento,Apto ao serviço,0,3º BPM,2026-02
133377,Eduardo Santos,2º Sargento,Afastado,20,3º BPM,2026-02
138703,Patrícia Santos,Soldado,Apto ao serviço,0,3º BPM,2026-02
134295,Juliana Pereira,Cabo,Licença médica,17,3º BPM,2026-02
131790,Sabrina Almeida,1º Tenente,Licença médica,23,3º BPM,2026-02
120984,Ana Rodrigues,Cabo,Apto ao serviço,0,3º BPM,2026-02
185404,Diego Costa,3º Sargento,Apto ao serviço,0,3º BPM,2026-02
126339,Rafael Silva,1º Sargento,Apto ao serviço,0,3º BPM,2026-02
109545,Patrícia Gomes,2º Tenente,Apto ao serviço,0,3º BPM,2026-02
140462,Bruno Almeida,Subtenente,Férias,26,3º BPM,2026-02
199797,Diego Costa,2º Sargento,Apto ao serviço,0,3º BPM,2026-02
177254,Carla Costa,1º Sargento,Apto ao serviço,0,3º BPM,2026-02
169742,Gustavo Oliveira,Cabo,Apto ao serviço,0,3º BPM,2026-02
141118,Rafael Pereira,1º Tenente,Curso,25,3º BPM,2026-02
112902,Sabrina Oliveira,1º Tenente,Apto ao serviço,0,3º BPM,2026-02
139343,Gustavo Oliveira,3º Sargento,Curso,3,3º BPM,2026-02
120869,Carla Martins,Capitão,Licença médica,27,3º BPM,2026-02
170503,Igor Gomes,Major,Licença médica,4,3º BPM,2026-02
103119,Igor Gomes,3º Sargento,Apto ao serviço,0,3º BPM,2026-02
119619,Fernanda Martins,1º Sargento,Licença médica,23,3º BPM,2026-02
171263,Juliana Santos,Subtenente,Apto ao serviço,0,3º BPM,2026-02
115044,Eduardo Costa,Subtenente,Apto ao serviço,0,3º BPM,2026-02
166063,Diego Oliveira,1º Sargento,Férias,28,3º BPM,2026-02
156895,Diego Souza,Capitão,Apto ao serviço,0,3º BPM,2026-02
140092,Rafael Rodrigues,2º Tenente,Apto ao serviço,0,3º BPM,2026-02
