Matricula,Nome,Posto_Graduacao,Situacao,Dias_Afastado,Unidade,Mes_Referencia
109393,Juliana Almeida,Major,Apto ao serviço,0,3º BPM,2026-01
102018,Bruno Silva,Cabo,Apto ao serviço,0,3º BPM,2026-01
144219,Patrícia Pereira,1º Sargento,Apto ao serviço,0,3º BPM,2026-01
108465,Fernanda Souza,Subtenente,Curso,13,3º BPM,2026-01
197307,Marcos Santos,Major,Apto ao serviço,0,3º BPM,2026-01
117554,Rafael Souza,Soldado,Apto ao serviço,0,3º BPM,2026-01
146018,Eduardo Martins,Soldado,Licença médica,21,3º BPM,2026-01
121528,Marcos Souza,Capitão,Apto ao serviço,0,3º BPM,2026-01
181787,Sabrina Silva,1º Sargento,Apto ao serviço,0,3º BPM,2026-01
143407,Diego Souza,1º Sargento,Apto ao serviço,0,3º BPM,2026-01
163657,Marcos Santos,2º Sargento,Apto ao serviço,0,3º BPM,2026-01
184640,Juliana Rodrigues,Major,Apto ao serviço,0,3º BPM,2026-01
112595,Gustavo Gomes,Subtenente,Curso,11,3º BPM,2026-01
118501,Eduardo Rodrigues,1º Sargento,Apto ao serviço,0,3º BPM,2026-01
194213,Igor Silva,Subtenente,Apto ao serviço,0,3º BPM,2026-01
179481,Igor Silva,2º Tenente,Apto ao serviço,0,3º BPM,2026-01
168410,Sabrina Almeida,2º Tenente,Férias,26,3º BPM,2026-01
118051,Rafael Almeida,3º Sargento,Apto ao serviço,0,3º BPM,2026-01
142355,Rafael Costa,Cabo,Afastado,27,3º BPM,2026-01
155249,Patrícia Santos,1º Sargento,Apto ao serviço,0,3º BPM,2026-01
145115,Gustavo Souza,2º Sargento,Apto ao serviço,0,3º BPM,2026-01
147405,Ana Costa,Major,Férias,7,3º BPM,2026-01
154316,Marcos Costa,Major,Apto ao serviço,0,3º BPM,2026-01
115809,Marcos Pereira,2º Sargento,Apto ao serviço,0,3º BPM,2026-01
161109,Juliana Souza,1º Sargento,Apto ao serviço,0,3º BPM,2026-01
103706,Helena Pereira,1º Tenente,Apto ao serviço,0,3º BPM,2026-01
150578,Diego Gomes,Capitão,Apto ao serviço,0,3º BPM,2026-01
185592,Juliana Souza,Capitão,Apto ao serviço,0,3º BPM,2026-01
197141,Rafael Pereira,Cabo,Apto ao serviço,0,3º BPM,2026-01
108852,Sabrina Santos,1º Sargento,Apto ao serviço,0,3º BPM,2026-01
155841,Juliana Almeida,2º Tenente,Curso,5,3º BPM,2026-01
135454,Diego Martins,Subtenente,Afastado,25,3º BPM,2026-01
152842,Rafael Souza,Capitão,Apto ao serviço,0,3º BPM,2026-01
158519,Rafael Almeida,2º Tenente,Apto ao serviço,0,3º BPM,2026-01
114810,Helena Oliveira,1º Sargento,Apto ao serviço,0,3º BPM,2026-01
152373,Eduardo Souza,3º Sargento,Licença médica,30,3º BPM,2026-01
101667,Carla Gomes,1º Sargento,Apto ao serviço,0,3º BPM,2026-01
116818,Marcos Almeida,Capitão,Apto ao serviço,0,3º BPM,2026-01
120596,Marcos Almeida,1º Tenente,Férias,27,3º BPM,2026-01
188695,Helena Gomes,Cabo,Licença médica,14,3º BPM,2026-01
167747,Igor Rodrigues,Capitão,Apto ao serviço,0,3º BPM,2026-01
175353,Juliana Costa,Cabo,Apto ao serviço,0,3º BPM,2026-01
160082,Igor Almeida,Subtenente,Apto ao serviço,0,3º BPM,2026-01
153914,Gustavo Silva,Subtenente,Apto ao serviço,0,3º BPM,2026-01
199916,Eduardo Gomes,2º Sargento,Curso,25,3º BPM,2026-01
187106,Patrícia Costa,1º Tenente,Apto ao serviço,0,3º BPM,2026-01
171592,Patrícia Rodrigues,Capitão,Apto ao serviço,0,3º BPM,2026-01
109126,Gustavo Oliveira,1º Sargento,Férias,30,3º BPM,2026-01
167981,Helena Souza,1º Tenente,Apto ao serviço,0,3º BPM,2026-01
168256,Diego Costa,1º Sargento,Apto ao serviço,0,3º BPM,2026-01
126194,Carla Silva,Cabo,Apto ao serviço,0,3º BPM,2026-01
158060,Carla Oliveira,Major,Apto ao serviço,0,3º BPM,2026-01
142816,Helena Almeida,Soldado,Apto ao serviço,0,3º BPM,2026-01
105562,Helena Rodrigues,1º Tenente,Apto ao serviço,0,3º BPM,2026-01
144273,Patrícia Pereira,Subtenente,Apto ao serviço,0,3º BPM,2026-01
111455,Ana Souza,2º Tenente,Apto ao serviço,0,3º BPM,2026-01
175492,Carla Martins,2º Sargento,Férias,18,3º BPM,2026-01
125036,Carla Rodrigues,Cabo,Afastado,29,3º BPM,2026-01
136769,Fernanda Souza,1º Sargento,Apto ao serviço,0,3º BPM,2026-01
115645,Bruno Almeida,Major,Apto ao serviço,0,3º BPM,2026-01
183214,Igor Rodrigues,2º Sargento,Apto ao serviço,0,3º BPM,2026-01
162987,Rafael Pereira,1º Tenente,Apto ao serviço,0,3º BPM,2026-01
161269,Diego Oliveira,2º Sargento,Apto ao serviço,0,3º BPM,2026-01
