Matricula,Nome,Posto_Graduacao,Situacao,Dias_Afastado,Unidade,Mes_Referencia
189037,Ana Oliveira,2º Tenente,Apto ao serviço,0,5º BPM Sinop,2026-02
132300,Patrícia Oliveira,1º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-02
113193,Fernanda Almeida,1º Tenente,Curso,3,5º BPM Sinop,2026-02
136614,Patrícia Martins,2º Tenente,Apto ao serviço,0,5º BPM Sinop,2026-02
123297,Rafael Rodrigues,1º Tenente,Licença médica,24,5º BPM Sinop,2026-02
145499,Bruno Almeida,Cabo,Apto ao serviço,0,5º BPM Sinop,2026-02
189520,Helena Pereira,1º Tenente,Afastado,17,5º BPM Sinop,2026-02
160385,Igor Almeida,Major,Curso,9,5º BPM Sinop,2026-02
119243,Carla Costa,Major,Curso,5,5º BPM Sinop,2026-02
186859,Patrícia Gomes,2º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-02
168743,Eduardo Rodrigues,3º Sargento,Curso,18,5º BPM Sinop,2026-02
160080,Diego Santos,Subtenente,Apto ao serviço,0,5º BPM Sinop,2026-02
129758,Eduardo Santos,Cabo,Apto ao serviço,0,5º BPM Sinop,2026-02
146771,Fernanda Martins,Soldado,Apto ao serviço,0,5º BPM Sinop,2026-02
117202,Carla Martins,1º Tenente,Apto ao serviço,0,5º BPM Sinop,2026-02
158283,Juliana Rodrigues,2º Tenente,Apto ao serviço,0,5º BPM Sinop,2026-02
148386,Patrícia Almeida,1º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-02
122496,Carla Almeida,2º Tenente,Férias,6,5º BPM Sinop,2026-02
111181,Igor Rodrigues,Capitão,Apto ao serviço,0,5º BPM Sinop,2026-02
165363,Sabrina Silva,Cabo,Curso,28,5º BPM Sinop,2026-02
148701,Rafael Silva,3º Sargento,Licença médica,20,5º BPM Sinop,2026-02
125148,Rafael Santos,Subtenente,Apto ao serviço,0,5º BPM Sinop,2026-02
163109,Gustavo Gomes,1º Tenente,Apto ao serviço,0,5º BPM Sinop,2026-02
191367,Sabrina Costa,Subtenente,Licença médica,26,5º BPM Sinop,2026-02
103433,Ana Souza,Capitão,Apto ao serviço,0,5º BPM Sinop,2026-02
176060,Helena Costa,Major,Férias,19,5º BPM Sinop,2026-02
111656,Patrícia Souza,Major,Apto ao serviço,0,5º BPM Sinop,2026-02
108360,Patrícia Oliveira,1º Tenente,Apto ao serviço,0,5º BPM Sinop,2026-02
126824,Bruno Almeida,2º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-02
116172,Diego Silva,Subtenente,Licença médica,5,5º BPM Sinop,2026-02
161842,Igor Costa,Subtenente,Apto ao serviço,0,5º BPM Sinop,2026-02
193531,Gustavo Souza,Soldado,Apto ao serviço,0,5º BPM Sinop,2026-02
150667,Gustavo Oliveira,2º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-02
137061,Fernanda Almeida,Cabo,Licença médica,23,5º BPM Sinop,2026-02
159327,Rafael Oliveira,Soldado,Apto ao serviço,0,5º BPM Sinop,2026-02
117232,Diego Oliveira,Subtenente,Férias,3,5º BPM Sinop,2026-02
167855,Sabrina Rodrigues,1º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-02
132893,Ana Rodrigues,Capitão,Férias,17,5º BPM Sinop,2026-02
123709,Igor Oliveira,Capitão,Licença médica,29,5º BPM Sinop,2026-02
159278,Carla Santos,Major,Apto ao serviço,0,5º BPM Sinop,2026-02
130876,Bruno Oliveira,Cabo,Apto ao serviço,0,5º BPM Sinop,2026-02
102438,Bruno Santos,1º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-02
146597,Helena Costa,Subtenente,Apto ao serviço,0,5º BPM Sinop,2026-02
166623,Fernanda Pereira,1º Tenente,Apto ao serviço,0,5º BPM Sinop,2026-02
150059,Helena Rodrigues,Capitão,Apto ao serviço,0,5º BPM Sinop,2026-02
159989,Gustavo Pereira,Cabo,Apto ao serviço,0,5º BPM Sinop,2026-02
106175,Diego Pereira,Major,Licença médica,16,5º BPM Sinop,2026-02
156416,Rafael Oliveira,Subtenente,Apto ao serviço,0,5º BPM Sinop,2026-02
178250,Bruno Almeida,Cabo,Apto ao serviço,0,5º BPM Sinop,2026-02
141844,Ana Rodrigues,Subtenente,Apto ao serviço,0,5º BPM Sinop,2026-02
116089,Gustavo Oliveira,1º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-02
154138,Patrícia Costa,1º Tenente,Apto ao serviço,0,5º BPM Sinop,2026-02
126754,Helena Silva,Capitão,Apto ao serviço,0,5º BPM Sinop,2026-02
122779,Igor Oliveira,Soldado,Apto ao serviço,0,5º BPM Sinop,2026-02
122374,Igor Souza,1º Tenente,Apto ao serviço,0,5º BPM Sinop,2026-02
