Matricula,Nome,Posto_Graduacao,Situacao,Dias_Afastado,Unidade,Mes_Referencia
166795,Rafael Santos,Cabo,Apto ao serviço,0,2º BPM,2026-02
136304,Fernanda Santos,Cabo,Apto ao serviço,0,2º BPM,2026-02
129795,Ana Oliveira,Subtenente,Apto ao serviço,0,2º BPM,2026-02
110644,Marcos Oliveira,Cabo,Férias,17,2º BPM,2026-02
183434,Rafael Pereira,Soldado,Apto ao serviço,0,2º BPM,2026-02
135884,Fernanda Gomes,Major,Apto ao serviço,0,2º BPM,2026-02
101090,Eduardo Oliveira,Soldado,Apto ao serviço,0,2º BPM,2026-02
169894,Helena Martins,Soldado,Apto ao serviço,0,2º BPM,2026-02
115950,Carla Almeida,Cabo,Apto ao serviço,0,2º BPM,2026-02
144483,Helena Gomes,Major,Apto ao serviço,0,2º BPM,2026-02
189185,Sabrina Martins,1º Sargento,Apto ao serviço,0,2º BPM,2026-02
198531,Eduardo Silva,3º Sargento,Licença médica,17,2º BPM,2026-02
114742,Igor Costa,Capitão,Apto ao serviço,0,2º BPM,2026-02
111601,Marcos Costa,Capitão,Afastado,13,2º BPM,2026-02
179454,Gustavo Martins,Soldado,Apto ao serviço,0,2º BPM,2026-02
161102,Eduardo Gomes,Major,Apto ao serviço,0,2º BPM,2026-02
178654,Helena Martins,Subtenente,Apto ao serviço,0,2º BPM,2026-02
102823,Patrícia Almeida,1º Sargento,Apto ao serviço,0,2º BPM,2026-02
178797,Igor Costa,Subtenente,Afastado,11,2º BPM,2026-02
188267,Patrícia Costa,Cabo,Apto ao serviço,0,2º BPM,2026-02
165508,Diego Pereira,Capitão,Apto ao serviço,0,2º BPM,2026-02
118547,Helena Gomes,Subtenente,Apto ao serviço,0,2º BPM,2026-02
114999,Sabrina Oliveira,Major,Apto ao serviço,0,2º BPM,2026-02
131565,Eduardo Rodrigues,2º Tenente,Apto ao serviço,0,2º BPM,2026-02
170476,Gustavo Silva,1º Sargento,Apto ao serviço,0,2º BPM,2026-02
185850,Sabrina Souza,1º Sargento,Curso,18,2º BPM,2026-02
153865,Patrícia Souza,3º Sargento,Apto ao serviço,0,2º BPM,2026-02
198977,Bruno Almeida,1º Tenente,Apto ao serviço,0,2º BPM,2026-02
168454,Patrícia Martins,Soldado,Apto ao serviço,0,2º BPM,2026-02
164840,Ana Costa,Major,Apto ao serviço,0,2º BPM,2026-02
134830,Rafael Souza,Major,Apto ao serviço,0,2º BPM,2026-02
196781,Sabrina Oliveira,1º Tenente,Curso,20,2º BPM,2026-02
119179,Helena Oliveira,1º Sargento,Férias,29,2º BPM,2026-02
186458,Carla Martins,Capitão,Apto ao serviço,0,2º BPM,2026-02
151463,Sabrina Gomes,2º Tenente,Apto ao serviço,0,2º BPM,2026-02
130838,Marcos Costa,1º Sargento,Apto ao serviço,0,2º BPM,2026-02
162773,Ana Almeida,1º Tenente,Licença médica,12,2º BPM,2026-02
136018,Ana Gomes,Cabo,Afastado,21,2º BPM,2026-02
190678,Fernanda Silva,1º Tenente,Apto ao serviço,0,2º BPM,2026-02
199965,Carla Martins,3º Sargento,Apto ao serviço,0,2º BPM,2026-02
116202,Bruno Santos,Cabo,Apto ao serviço,0,2º BPM,2026-02
105200,Rafael Martins,Soldado,Licença médica,13,2º BPM,2026-02
163512,Sabrina Pereira,1º Tenente,Licença médica,20,2º BPM,2026-02
155254,Marcos Costa,Capitão,Apto ao serviço,0,2º BPM,2026-02
135026,Juliana Gomes,Subtenente,Apto ao serviço,0,2º BPM,2026-02
127528,Eduardo Oliveira,2º Sargento,Apto ao serviço,0,2º BPM,2026-02
102458,Fernanda Pereira,Cabo,Apto ao serviço,0,2º BPM,2026-02
188223,Patrícia Santos,Subtenente,Apto ao serviço,0,2º BPM,2026-02
170601,Patrícia Pereira,2º Tenente,Apto ao serviço,0,2º BPM,2026-02
122186,Bruno Oliveira,1º Tenente,Apto ao serviço,0,2º BPM,2026-02
163189,Juliana Oliveira,2º Tenente,Apto ao serviço,0,2º BPM,2026-02
106151,Bruno Souza,1º Tenente,Apto ao serviço,0,2º BPM,2026-02
187853,Sabrina Pereira,1º Sargento,Apto ao serviço,0,2º BPM,2026-02
148390,Bruno Oliveira,3º Sargento,Apto ao serviço,0,2º BPM,2026-02
149119,Patrícia Rodrigues,Major,Apto ao serviço,0,2º BPM,2026-02
111159,Helena Santos,2º Tenente,Apto ao serviço,0,2º BPM,2026-02
165603,Eduardo Souza,Subtenente,Licença médica,12,2º BPM,2026-02
133969,Igor Costa,Soldado,Férias,2,2º BPM,2026-02
185000,Sabrina Oliveira,3º Sargento,Férias,25,2º BPM,2026-02
184609,Carla Santos,3º Sargento,Curso,10,2º BPM,2026-02
141193,Gustavo Almeida,Soldado,Apto ao serviço,0,2º BPM,2026-02
128881,Patrícia Pereira,1º Sargento,Apto ao serviço,0,2º BPM,2026-02
132743,Bruno Oliveira,Soldado,Apto ao serviço,0,2º BPM,2026-02
192155,Eduardo Souza,3º Sargento,Apto ao serviço,0,2º BPM,2026-02
127872,Carla Souza,1º Sargento,Apto ao serviço,0,2º BPM,2026-02
151891,Fernanda Santos,2º Sargento,Afastado,18,2º BPM,2026-02
