Matricula,Nome,Posto_Graduacao,Situacao,Dias_Afastado,Unidade,Mes_Referencia
170443,Eduardo Oliveira,1º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
143578,Rafael Gomes,Capitão,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
194430,Igor Souza,Major,Afastado,24,4º BPM Rondonópolis,2026-02
152089,Diego Rodrigues,1º Tenente,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
160806,Carla Martins,1º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
150785,Sabrina Pereira,Major,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
148006,Eduardo Almeida,Subtenente,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
154494,Carla Silva,1º Tenente,Curso,29,4º BPM Rondonópolis,2026-02
125620,Helena Pereira,Subtenente,Licença médica,6,4º BPM Rondonópolis,2026-02
155696,Ana Oliveira,Major,Licença médica,28,4º BPM Rondonópolis,2026-02
120576,Fernanda Gomes,2º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
143581,Bruno Almeida,2º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
169999,Marcos Oliveira,Capitão,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
189921,Gustavo Pereira,3º Sargento,Curso,19,4º BPM Rondonópolis,2026-02
174708,Eduardo Oliveira,Major,Curso,19,4º BPM Rondonópolis,2026-02
190039,Rafael Rodrigues,2º Sargento,Licença médica,19,4º BPM Rondonópolis,2026-02
124689,Gustavo Costa,3º Sargento,Licença médica,29,4º BPM Rondonópolis,2026-02
101628,Sabrina Oliveira,3º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
195460,Ana Silva,3º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
163200,Igor Souza,Subtenente,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
168737,Fernanda Silva,1º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
101794,Sabrina Santos,1º Tenente,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
147636,Juliana Rodrigues,2º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
118785,Patrícia Rodrigues,Cabo,Afastado,27,4º BPM Rondonópolis,2026-02
105598,Marcos Souza,1º Tenente,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
143860,Igor Pereira,2º Tenente,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
125468,Fernanda Silva,1º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
153731,Bruno Gomes,1º Tenente,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
116995,Eduardo Silva,2º Tenente,Férias,15,4º BPM Rondonópolis,2026-02
131059,Patrícia Silva,2º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
194658,Igor Pereira,Subtenente,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
111074,Ana Almeida,Major,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
110541,Diego Pereira,Cabo,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
132380,Sabrina Souza,2º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
199379,Carla Pereira,Major,Licença médica,9,4º BPM Rondonópolis,2026-02
118179,Helena Martins,2º Tenente,Férias,8,4º BPM Rondonópolis,2026-02
107119,Igor Almeida,1º Tenente,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
129017,Diego Rodrigues,Subtenente,Afastado,28,4º BPM Rondonópolis,2026-02
165287,Igor Martins,1º Tenente,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
171275,Fernanda Oliveira,1º Sargento,Férias,8,4º BPM Rondonópolis,2026-02
119585,Rafael Pereira,Capitão,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
139372,Ana Rodrigues,Capitão,Curso,11,4º BPM Rondonópolis,2026-02
117223,Eduardo Souza,Subtenente,Férias,15,4º BPM Rondonópolis,2026-02
167210,Carla Rodrigues,Capitão,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
148252,Fernanda Pereira,Soldado,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
158027,Diego Rodrigues,1º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
100440,Carla Pereira,Soldado,Licença médica,26,4º BPM Rondonópolis,2026-02
138340,Marcos Pereira,Soldado,Férias,22,4º BPM Rondonópolis,2026-02
165145,Eduardo Souza,Cabo,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
163744,Eduardo Souza,Subtenente,Férias,22,4º BPM Rondonópolis,2026-02
141389,Ana Souza,1º Tenente,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
140713,Bruno Rodrigues,2º Tenente,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
192222,Marcos Martins,Soldado,Licença médica,10,4º BPM Rondonópolis,2026-02
134018,Juliana Pereira,3º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
119045,Marcos Costa,Major,Férias,5,4º BPM Rondonópolis,2026-02
154602,Igor Santos,1º Tenente,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
197446,Igor Santos,Major,Férias,15,4º BPM Rondonópolis,2026-02
139379,Igor Gomes,3º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
192025,Marcos Rodrigues,3º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-02
176180,Fernanda Gomes,1º Sargento,Licença médica,27,4º BPM Rondonópolis,2026-02
